sticker_id,name,reference_price
7709,Sticker | lux (Holo) | Copenhagen 2024,0.44
7727,Sticker | HEN1 | Copenhagen 2024,0.01
7732,Sticker | noway (Glitter) | Copenhagen 2024,0.14
7739,Sticker | 910 | Copenhagen 2024,0.01
7787,Sticker | Patti | Copenhagen 2024,0.01
7790,Sticker | Patti (Gold) | Copenhagen 2024,1.15
7796,Sticker | salazar (Glitter) | Copenhagen 2024,0.02
7806,Sticker | dav1g (Gold) | Copenhagen 2024,1.16
7829,Sticker | dumau (Holo) | Copenhagen 2024,0.77
7844,Sticker | Jee (Glitter) | Copenhagen 2024,0.14
7860,"Sticker | jL (Glitter, Champion) | Copenhagen 2024",0.05
7863,Sticker | Aleksib (Champion) | Copenhagen 2024,0.01
7871,Sticker | iM (Champion) | Copenhagen 2024,0.01
7876,"Sticker | w0nderful (Glitter, Champion) | Copenhagen 2024",0.03
7909,Sticker | Quick Peek,0.21
7964,Sticker | Virtus.pro | Shanghai 2024,0.01
7965,Sticker | Virtus.pro (Glitter) | Shanghai 2024,0.27
7973,Sticker | Complexity Gaming (Glitter) | Shanghai 2024,0.23
7976,Sticker | BIG | Shanghai 2024,0.02
7978,Sticker | BIG (Holo) | Shanghai 2024,4.08
7992,Sticker | GamerLegion | Shanghai 2024,0.01
7993,Sticker | GamerLegion (Glitter) | Shanghai 2024,0.17
7997,Sticker | MIBR (Glitter) | Shanghai 2024,0.17
8006,Sticker | FlyQuest (Holo) | Shanghai 2024,35.7
8009,Sticker | Passion UA (Glitter) | Shanghai 2024,0.18
8013,Sticker | Wildcard (Glitter) | Shanghai 2024,0.32
8020,Sticker | Imperial Esports | Shanghai 2024,0.02
8056,Sticker | Snax (Gold) | Shanghai 2024,1.82
8068,Sticker | m0NESY (Gold) | Shanghai 2024,35.13
8076,Sticker | w0nderful (Gold) | Shanghai 2024,2.21
8079,Sticker | Aleksib (Holo) | Shanghai 2024,0.46
8098,Sticker | apEX (Glitter) | Shanghai 2024,0.02
8101,Sticker | mezii | Shanghai 2024,0.01
