weapon_name,skin_name,pattern,backside_blue,backside_purple,backside_gold,playside_blue,playside_purple,playside_gold
Karambit,Case Hardened,689,9.0,7.54,83.46,40.02,4.32,55.66
Karambit,Case Hardened,684,19.71,7.89,72.4,12.39,6.16,81.45
Karambit,Case Hardened,434,3.16,0.71,96.13,41.19,1.92,56.9
Karambit,Case Hardened,632,23.71,24.16,52.12,43.2,1.98,54.83
Karambit,Case Hardened,482,1.92,7.17,90.91,6.89,1.9,91.21
Karambit,Case Hardened,407,4.3,2.94,92.76,54.98,1.41,43.61
Karambit,Case Hardened,876,18.54,6.1,75.35,12.8,13.07,74.12
Karambit,Case Hardened,242,2.98,1.98,95.04,24.29,8.38,67.34
Karambit,Case Hardened,212,18.21,9.42,72.37,16.7,4.98,78.32
Karambit,Case Hardened,665,10.64,9.83,79.53,4.47,3.15,92.38
Karambit,Case Hardened,505,33.31,9.45,57.24,24.44,13.76,61.81
Karambit,Case Hardened,360,11.78,8.13,80.09,24.9,22.53,52.57
Karambit,Case Hardened,814,2.87,2.04,95.09,39.05,6.86,54.08
Karambit,Case Hardened,832,0.09,0.36,99.55,33.24,17.85,48.91
Karambit,Case Hardened,578,30.41,12.2,57.39,36.25,17.77,45.98
Karambit,Case Hardened,487,15.13,14.39,70.48,41.02,16.15,42.83
Karambit,Case Hardened,393,11.63,13.05,75.32,0.55,2.37,97.08
Karambit,Case Hardened,338,0.54,16.28,83.19,0.01,0.02,99.97
Karambit,Case Hardened,835,71.27,5.68,23.06,7.86,11.3,80.84
Karambit,Case Hardened,867,34.94,7.1,57.95,0.27,3.41,96.32
Karambit,Case Hardened,264,49.82,10.55,39.63,23.94,4.76,71.3
Karambit,Case Hardened,284,0.3,10.2,89.5,58.62,15.27,26.11
Karambit,Case Hardened,661,13.62,3.2,83.19,75.15,1.14,23.71
Karambit,Case Hardened,280,13.77,8.65,77.59,0.29,3.83,95.87
Karambit,Case Hardened,146,40.17,22.0,37.83,45.42,20.03,34.55
Karambit,Case Hardened,310,17.73,12.9,69.38,66.49,7.31,26.2
Karambit,Case Hardened,154,52.52,6.08,41.4,50.21,26.58,23.2
Karambit,Case Hardened,318,31.81,16.67,51.52,0.51,0.31,99.18
Karambit,Case Hardened,323,0.55,9.41,90.03,69.32,10.86,19.82
Karambit,Case Hardened,722,21.78,10.27,67.96,0.0,0.02,99.98
Karambit,Case Hardened,882,12.73,3.03,84.24,1.99,6.51,91.5
Karambit,Case Hardened,321,8.12,10.55,81.33,84.24,7.17,8.58
Karambit,Case Hardened,303,69.53,10.63,19.84,55.04,19.12,25.83
Karambit,Case Hardened,849,6.3,8.79,84.91,55.21,2.2,42.59
Karambit,Case Hardened,30,1.0,0.7,98.3,73.04,5.93,21.02
Karambit,Case Hardened,466,12.56,5.39,82.06,30.1,17.32,52.57
Karambit,Case Hardened,132,16.39,5.64,77.98,23.13,7.88,69.0
Karambit,Case Hardened,833,11.26,7.07,81.67,38.58,7.73,53.69
Karambit,Case Hardened,377,0.16,0.09,99.75,83.63,5.55,10.82
Karambit,Case Hardened,510,9.65,14.33,76.02,82.36,4.51,13.13
Karambit,Case Hardened,315,68.47,6.99,24.54,4.68,3.08,92.25
Karambit,Case Hardened,78,27.76,14.57,57.67,0.29,0.05,99.66
Karambit,Case Hardened,64,47.82,1.56,50.62,0.01,0.02,99.97
Karambit,Case Hardened,479,0.37,2.38,97.25,11.77,28.07,60.16
Karambit,Case Hardened,210,33.75,6.03,60.22,11.45,1.78,86.77
Karambit,Case Hardened,147,7.71,5.49,86.8,35.4,12.47,52.13
Karambit,Case Hardened,368,0.14,0.26,99.6,18.85,5.18,75.97
Karambit,Case Hardened,967,0.05,3.2,96.76,29.67,10.53,59.8
Karambit,Case Hardened,834,10.48,11.32,78.2,45.78,20.43,33.79
Karambit,Case Hardened,297,0.05,3.65,96.29,6.55,4.9,88.55
Karambit,Case Hardened,779,42.14,20.49,37.37,2.64,3.74,93.62
Karambit,Case Hardened,560,0.04,3.96,96.0,2.56,2.68,94.76
Karambit,Case Hardened,369,33.43,4.66,61.91,27.29,11.95,60.76
Karambit,Case Hardened,718,2.5,2.16,95.34,4.2,3.26,92.54
Karambit,Case Hardened,371,0.35,2.09,97.56,60.44,1.21,38.35
Karambit,Case Hardened,577,30.83,16.56,52.61,21.05,1.39,77.56
Karambit,Case Hardened,570,66.27,1.25,32.49,35.02,10.32,54.66
Karambit,Case Hardened,617,2.64,1.68,95.68,27.81,14.2,57.99
Karambit,Case Hardened,445,72.77,2.46,24.77,2.04,0.13,97.83
Karambit,Case Hardened,356,62.68,8.21,29.1,15.04,6.97,77.98
Karambit,Case Hardened,477,0.67,9.85,89.48,0.01,0.85,99.14
Karambit,Case Hardened,125,4.27,8.41,87.33,33.28,7.73,58.98
Karambit,Case Hardened,637,4.14,8.63,87.23,55.83,15.24,28.93
Karambit,Case Hardened,623,2.99,0.45,96.56,13.42,3.02,83.56
Karambit,Case Hardened,613,53.46,3.87,42.67,0.33,9.65,90.03
Karambit,Case Hardened,659,19.06,9.79,71.15,21.13,24.61,54.26
Karambit,Case Hardened,418,8.02,15.52,76.46,40.0,1.67,58.33
Karambit,Case Hardened,225,3.69,15.66,80.65,0.54,13.34,86.12
Karambit,Case Hardened,417,95.19,0.26,4.55,32.59,17.74,49.66
Karambit,Case Hardened,269,68.67,7.83,23.5,91.47,0.32,8.21
Karambit,Case Hardened,776,38.81,3.96,57.22,90.41,2.52,7.06
Karambit,Case Hardened,363,5.51,9.14,85.34,33.33,8.25,58.42
Karambit,Case Hardened,914,15.9,6.56,77.54,77.75,12.88,9.37
Karambit,Case Hardened,575,19.87,20.73,59.4,68.66,3.59,27.75
Karambit,Case Hardened,823,10.22,6.95,82.83,69.24,2.44,28.33
Karambit,Case Hardened,634,37.18,11.41,51.42,35.32,24.26,40.43
Karambit,Case Hardened,929,8.61,4.89,86.51,16.87,12.66,70.46
Karambit,Case Hardened,500,10.86,10.03,79.1,0.12,0.22,99.67
Karambit,Case Hardened,963,53.1,15.55,31.35,1.63,3.38,94.99
Karambit,Case Hardened,293,72.35,3.09,24.56,20.73,18.13,61.14
Butterfly Knife,Case Hardened,620,7.55,8.85,83.6,8.56,9.21,82.23
Butterfly Knife,Case Hardened,658,44.01,7.4,48.59,43.51,6.86,49.63
Butterfly Knife,Case Hardened,703,65.95,17.01,17.03,66.34,15.85,17.82
Butterfly Knife,Case Hardened,91,13.94,22.02,64.04,14.02,21.37,64.61
Butterfly Knife,Case Hardened,347,46.66,21.35,31.99,46.56,20.68,32.76
Butterfly Knife,Case Hardened,333,12.0,26.03,61.97,12.71,25.46,61.82
Butterfly Knife,Case Hardened,135,33.66,14.79,51.54,33.12,14.36,52.52
Butterfly Knife,Case Hardened,106,41.49,12.69,45.81,41.24,11.97,46.79
Butterfly Knife,Case Hardened,282,51.69,10.76,37.55,50.56,10.39,39.04
Butterfly Knife,Case Hardened,338,3.8,5.18,91.02,3.83,4.8,91.37
Butterfly Knife,Case Hardened,657,13.13,2.39,84.47,13.92,2.5,83.58
Butterfly Knife,Case Hardened,105,10.39,21.28,68.32,10.59,20.7,68.71
Butterfly Knife,Case Hardened,119,19.52,7.96,72.52,18.96,6.85,74.2
Butterfly Knife,Case Hardened,322,50.11,5.57,44.32,50.19,5.34,44.47
Butterfly Knife,Case Hardened,581,8.73,5.24,86.03,8.81,4.73,86.46
Butterfly Knife,Case Hardened,687,39.15,22.24,38.61,38.95,21.92,39.12
Butterfly Knife,Case Hardened,672,44.89,17.13,37.98,44.41,17.01,38.58
Butterfly Knife,Case Hardened,556,20.94,6.97,72.09,21.43,6.74,71.83
Butterfly Knife,Case Hardened,470,41.59,7.64,50.77,41.69,7.4,50.91
Butterfly Knife,Case Hardened,69,15.35,7.5,77.14,14.95,7.63,77.42
Butterfly Knife,Case Hardened,98,61.25,25.7,13.06,60.83,24.64,14.52
Butterfly Knife,Case Hardened,789,14.74,23.38,61.88,14.52,22.62,62.85
Butterfly Knife,Case Hardened,705,47.04,14.12,38.85,46.94,13.1,39.96
Butterfly Knife,Case Hardened,459,24.74,12.92,62.34,24.33,12.39,63.28
Butterfly Knife,Case Hardened,160,40.72,31.47,27.81,40.03,30.13,29.84
Butterfly Knife,Case Hardened,897,1.82,3.17,95.01,1.57,4.04,94.38
Butterfly Knife,Case Hardened,290,33.72,20.74,45.54,33.18,19.83,46.99
Butterfly Knife,Case Hardened,717,62.6,21.12,16.28,61.67,19.73,18.59
Butterfly Knife,Case Hardened,64,1.25,2.41,96.34,1.19,1.81,97.0
Butterfly Knife,Case Hardened,259,38.74,17.28,43.98,37.87,16.53,45.6
Butterfly Knife,Case Hardened,367,13.11,19.48,67.42,12.83,18.26,68.92
Butterfly Knife,Case Hardened,846,53.39,15.54,31.07,52.35,15.02,32.63
Butterfly Knife,Case Hardened,799,50.48,21.88,27.64,49.37,21.56,29.06
Butterfly Knife,Case Hardened,460,41.37,30.06,28.57,40.07,29.26,30.68
Butterfly Knife,Case Hardened,262,50.8,15.48,33.73,51.25,14.52,34.23
Butterfly Knife,Case Hardened,415,11.85,13.68,74.47,11.76,13.06,75.18
Butterfly Knife,Case Hardened,830,40.54,28.94,30.52,39.99,28.95,31.06
Butterfly Knife,Case Hardened,898,41.69,14.53,43.79,42.76,13.54,43.7
Butterfly Knife,Case Hardened,736,15.86,16.0,68.14,16.06,14.93,69.01
Butterfly Knife,Case Hardened,464,53.29,15.38,31.33,52.59,14.68,32.73
Butterfly Knife,Case Hardened,504,3.6,5.28,91.12,3.57,5.16,91.27
Butterfly Knife,Case Hardened,189,11.13,18.52,70.36,12.04,18.83,69.13
Butterfly Knife,Case Hardened,154,37.6,20.81,41.59,37.29,21.09,41.61
Butterfly Knife,Case Hardened,642,51.62,8.04,40.35,50.62,7.45,41.93
Butterfly Knife,Case Hardened,784,1.22,1.12,97.66,1.37,1.22,97.41
Butterfly Knife,Case Hardened,11,35.76,9.77,54.47,35.34,9.37,55.3
Butterfly Knife,Case Hardened,625,19.86,17.51,62.63,19.87,17.45,62.67
Butterfly Knife,Case Hardened,570,40.99,17.95,41.07,40.65,17.36,41.99
Butterfly Knife,Case Hardened,120,5.51,3.29,91.2,5.13,2.83,92.04
Butterfly Knife,Case Hardened,685,10.66,7.06,82.28,11.52,6.9,81.58
