weapon,skin,wear,float,pattern,stattrak,price,phase,fade_seed,fade_percentage,fade_rank,fade_type,stickers_count,stickers_total_value,stickers_avg_value,stickers_max_value,stickers_total_over_price,slot0_name,slot0_price,slot1_name,slot1_price,slot2_name,slot2_price,slot3_name,slot3_price,market_hash_name
AWP,Fade,Factory New,0.0341099686920642,419,0,1383.99,,419,93.024704,358,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0297170020639896,133,0,1075.99,,133,87.44229,629,fade,1,14.05,14.05,14.05,0.013057742172325,Sticker | Battle Scarred (Holo),14.05,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.022315432170699034,133,0,1059.54,,133,87.44229,629,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.024255189045007283,133,0,1080.16,,133,87.44229,629,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.022315432170699,133,0,1059.54,,133,87.44229,629,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0242551890450072,133,0,1080.16,,133,87.44229,629,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.025593189522624,217,0,1010.0,,217,94.26994,291,fade,4,19.6,4.9,14.05,0.0194059405940594,Sticker | 9z Team (Glitter) | Antwerp 2022,1.85,Sticker | 9z Team (Glitter) | Antwerp 2022,1.85,Sticker | 9z Team (Glitter) | Antwerp 2022,1.85,Sticker | Battle Scarred (Holo),14.05,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.024336227900070614,217,0,1023.73,,217,94.26994,291,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.02959849156266898,217,0,972.18,,217,94.26994,291,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
AWP,Fade,Factory New,0.0243362279000706,217,0,1023.73,,217,94.26994,291,fade,0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,AWP | Fade (Factory New)
